source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Massilioclostridium	g__Onthenecus	-0.1461	0.001	1.7150045924056143	3.50558835530103	0.1136363636363636	0.2024793388429752
g__Massilioclostridium	g__Otoolea	-0.0717	0.034	1.7150045924056143	5.637003645213656	0.1136363636363636	0.7768595041322314
g__Massilioclostridium	g__Parabacteroides	-0.0396	0.2418	1.7150045924056143	6.192944193631491	0.1136363636363636	0.7128099173553719
g__Massilioclostridium	g__Paraprevotella	-0.0516	0.1279	1.7150045924056143	4.140906751288207	0.1136363636363636	0.1611570247933884
g__Massilioclostridium	g__Pararoseburia	0.0009	0.982	1.7150045924056143	2.825909598867752	0.1136363636363636	0.1219008264462809
g__Massilioclostridium	g__Parasutterella	0.0327	0.3576	1.7150045924056143	5.298451378186632	0.1136363636363636	0.2789256198347107
g__Massilioclostridium	g__Pauljensenia	0.1431	0.001	1.7150045924056143	2.2533515315695056	0.1136363636363636	0.146694214876033
g__Massilioclostridium	g__Pediococcus	0.2538	0.001	1.7150045924056143	6.044472607556895	0.1136363636363636	0.1632231404958677
g__Massilioclostridium	g__Peptostreptococcus	0.096	0.005	1.7150045924056143	4.158206308007135	0.1136363636363636	0.1714876033057851
g__Massilioclostridium	g__Phascolarctobacterium	-0.0085	0.8012	1.7150045924056143	6.029728220366929	0.1136363636363636	0.3863636363636363
g__Massilioclostridium	g__Phocaeicola	-0.1648	0.001	1.7150045924056143	8.725237087762615	0.1136363636363636	0.9462809917355371
g__Massilioclostridium	g__Prevotella	-0.0694	0.04	1.7150045924056143	7.491746663855539	0.1136363636363636	0.4442148760330578
g__Massilioclostridium	g__Pseudobutyricicoccus	0.0846	0.004	1.7150045924056143	1.9868852982679972	0.1136363636363636	0.1074380165289256
g__Massilioclostridium	g__Pseudoflavonifractor_A	0.1511	0.001	1.7150045924056143	2.297002529131489	0.1136363636363636	0.134297520661157
g__Massilioclostridium	g__Pseudoscilispira	0.0024	0.9431	1.7150045924056143	2.32481049555165	0.1136363636363636	0.2892561983471074
g__Massilioclostridium	g__Roseburia	-0.1989	0.001	1.7150045924056143	6.270505006703759	0.1136363636363636	0.6735537190082644
g__Massilioclostridium	g__Roseburia_D	-0.0756	0.018	1.7150045924056143	3.250214645379917	0.1136363636363636	0.1425619834710743
g__Massilioclostridium	g__Rothia	0.086	0.012	1.7150045924056143	4.05370153221366	0.1136363636363636	0.2603305785123967
g__Massilioclostridium	g__Ruminiclostridium_E	0.0351	0.2637	1.7150045924056143	3.366299955668857	0.1136363636363636	0.1115702479338843
g__Massilioclostridium	g__Ruminococcus_B	0.2594	0.001	1.7150045924056143	7.737947132127615	0.1136363636363636	0.8388429752066116
g__Massilioclostridium	g__Ruminococcus_C	-0.0817	0.013	1.7150045924056143	4.048462536450087	0.1136363636363636	0.2417355371900826
g__Massilioclostridium	g__Ruminococcus_E	-0.0446	0.1848	1.7150045924056143	5.434585988920234	0.1136363636363636	0.2045454545454545
g__Massilioclostridium	g__Ruthenibacterium	0.0851	0.015	1.7150045924056143	4.251172068521615	0.1136363636363636	0.493801652892562
g__Massilioclostridium	g__Sarcina	0.1132	0.002	1.7150045924056143	4.978552208875173	0.1136363636363636	0.2128099173553719
g__Massilioclostridium	g__Schaedlerella	0.0702	0.032	1.7150045924056143	4.029210216422679	0.1136363636363636	0.3822314049586777
g__Massilioclostridium	g__Sellimonas	0.1391	0.001	1.7150045924056143	4.545463956753047	0.1136363636363636	0.2644628099173554
g__Massilioclostridium	g__Streptococcus	0.0846	0.017	1.7150045924056143	7.600561164194048	0.1136363636363636	0.9648760330578512
g__Massilioclostridium	g__Sutterella	-0.071	0.03	1.7150045924056143	5.853451847111789	0.1136363636363636	0.4152892561983471
g__Massilioclostridium	g__Terrisporobacter	0.0538	0.1119	1.7150045924056143	4.122901962417212	0.1136363636363636	0.2665289256198347
g__Massilioclostridium	g__Thomasclavelia	0.2526	0.001	1.7150045924056143	5.6451554268064745	0.1136363636363636	0.628099173553719
g__Massilioclostridium	g__Turicibacter	0.018	0.5784	1.7150045924056143	4.5880554893591485	0.1136363636363636	0.4297520661157025
g__Massilioclostridium	g__Tyzzerella	0.0677	0.0579	1.7150045924056143	3.784611288214841	0.1136363636363636	0.2148760330578512
g__Massilioclostridium	g__UBA3402	-0.1046	0.001	1.7150045924056143	2.798412201319961	0.1136363636363636	0.1694214876033057
g__Massilioclostridium	g__URXU01	0.0391	0.2328	1.7150045924056143	5.865369354810628	0.1136363636363636	0.1384297520661157
g__Massilioclostridium	g__Veillonella	0.1095	0.002	1.7150045924056143	6.826654795566198	0.1136363636363636	0.6363636363636364
g__Massilioclostridium	g__Vescimonas	-0.1069	0.002	1.7150045924056143	4.145880095308725	0.1136363636363636	0.3347107438016529
g__Massilioclostridium	g__Weissella	0.048	0.1469	1.7150045924056143	4.862494013017426	0.1136363636363636	0.5020661157024794
