#OTU ID	CT43	CT46	CT5	CT50	CT51	CT55	CT56	PD10	PD104	PD110	PD114	PD115	PD116	PD119	PD121	PD123	PD124	PD130	PD132	PD133	PD136	PD142	PD145	PD153	PD154	PD162	PD17	PD171	PD173	PD18	PD183	PD19	PD20	PD201	PD202	PD203	PD206	PD21	PD216	PD226	PD23	PD230	PD237	PD242	PD245	PD247	PD248	PD25	PD251	PD252	PD257	PD258	PD259	PD260	PD261	PD28	PD29	PD3	PD30	PD32	PD37	PD38	PD41	PD46	PD47	PD48	PD50	PD54	PD55	PD60	PD67	PD68	PD69	PD7	PD81	PD82	PD83	PD85	PD88	PD9	PD90	PD92	PD95	PD96	PD97	PV126	PV128	PV129	PV130	PV137	PV143	PV153	PV4	PV44	PV45
g__Dialister	0	0	0	7	0	0	226	0	17	2262	225	0	0	0	69	0	0	122	8	18	0	0	9	0	0	3	0	103	0	2	0	0	2	0	370	0	0	180	0	0	0	356	0	0	0	0	3	0	5	55	136	44	436	1063	0	724	295	0	11	0	0	69	0	0	21	0	0	0	55	8	3	0	2995	1010	785	0	0	875	1134	0	0	0	0	0	219	4	626	370	0	0	3	0	164	570	0
g__Dorea	239	32	440	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	624	0	211	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	484	0	12	0	407	0	27	0	0	0	0	570	0	0	0	0	0	0	0	0	1002	136	0	0	0	0	474	0	0	279	4	0	298	389	0	0	0	0	15	74	0	0	0
g__Dorea_A	303	125	1890	0	22	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1343	0	0	0	0	0	0	0	0	0	133	0	0	0	213	194	1135	0	0	0	0	0	0	213	0	0	0	0	0	0	5	0	0	2998	612	33	0	1565	0	34	0	0	0	0	11	0	0	0	0	0	0	0	0	1320	478	0	0	0	4	836	0	0	1467	0	0	853	1474	6	0	158	0	16	111	0	0	0
g__Dorea_D	32	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Dysosmobacter	206	31	15	0	101	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	94	0	0	0	0	0	0	0	0	100	0	0	0	18	20	3	0	0	4	0	0	0	102	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	26	11	0	0	0	0	0	0	0	10	0	0	34	0	51	52	0	0	44	0	46	49	11
g__Eggerthella	0	68	4	526	98	0	337	0	0	0	0	0	0	93	0	0	0	46	109	0	0	0	608	0	0	0	0	156	349	0	0	0	45	76	0	54	95	68	0	0	147	560	8	777	0	0	0	0	0	0	2	0	1066	4	0	0	84	0	2	0	0	32	0	224	0	0	0	18	0	0	0	0	47	29	0	0	0	3	206	5	0	29	0	0	60	136	176	18	18	140	28	0	345	121	418
g__Enterobacter	190	23	0	9	0	143	0	0	749	39	0	18	30	0	0	0	97	0	0	0	0	0	0	0	0	17	24	0	0	0	441	0	0	0	0	0	0	0	0	0	33	0	0	44	0	1336	0	66	28	49	51	0	0	0	0	69	0	0	73	0	40	256	0	22	1660	2373	0	0	0	84	0	0	137	0	0	16	0	2	0	6	620	0	351	0	0	41	126	0	0	0	3629	2321	0	0	0
g__Enterocloster	30	48	30	0	53	0	321	0	0	10715	243	539	0	5	481	0	0	0	0	0	818	3217	0	160	187	0	0	102	14	0	0	569	0	17	21	20	206	0	178	133	4	3958	148	3908	22	2943	8	0	77	600	266	40	511	105	13	1006	25	227	25	0	279	121	0	396	85	0	0	37	0	160	1528	0	34	147	800	0	0	0	0	0	0	54	0	0	84	97	119	842	141	322	252	183	618	196	68
g__Enterococcus	0	0	0	0	36	0	0	0	200	447	0	11	2835	0	0	40	31	0	0	0	13	10	0	20	0	0	0	0	0	0	376	22	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	24	0	0	0	0	0	0	63	8	10378	0	0	0	0	0	0	37	0	59	0	0	0	653	0	175	0	0	64	52	29	0	0	0	34	0	0	0	0	0	0	0	0
g__Enterococcus_A	0	0	0	60	0	28	172	0	1136	0	37	0	0	0	0	0	4622	0	0	0	102	50	49	0	0	0	225	0	0	0	0	84	36	0	0	0	0	0	0	0	0	71	0	637	0	1430	0	0	0	0	0	0	0	0	0	219	38	0	0	423	46	0	0	0	54	0	0	44	0	668	0	221	0	0	21	0	0	483	0	0	4046	0	696	0	0	0	0	0	0	0	0	0	0	0	0
