	statistic	p-value	adjusted-p
PWY-5419	6.776173095125853	0.03377323859770742	0.06426752199175394
PWY490-3	6.666573466265007	0.03567565580124184	0.06755969601008116
AEROBACTINSYN-PWY	6.62145804807706	0.03648956228665699	0.06876879046331509
LPSSYN-PWY	6.579589615825023	0.03726149437565822	0.06988758753711972
PWY-6737	6.552321733213375	0.037772994360029795	0.07050958947205561
KETOGLUCONMET-PWY	6.537004096252981	0.03806340153566332	0.07071494503308068
PWY-7197	6.516059054797779	0.03846411587953286	0.07112232747536265
PWY-5918	6.363657426534928	0.04150967637476167	0.07639339501834072
PWY-5103	6.294261262100463	0.04297526200489079	0.07836623637518758
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	6.293971829056642	0.042981481685370734	0.07836623637518758
PWY-7196	6.214375408566411	0.04472656295603687	0.08079637179155047
PWY-2942	6.22094523076953	0.044579881222973794	0.08079637179155047
PWY-5100	6.1779279446407145	0.04554912011713566	0.08190483984365679
DAPLYSINESYN-PWY	6.148160341442008	0.046232134500440836	0.08275340969941922
PWY-5420	6.089707954381569	0.047603262642179726	0.08443655636078937
PWY-5654	6.093350201048892	0.047516650119803855	0.08443655636078937
PWY-5180	6.026466413623019	0.04913256592989572	0.08598199037731752
PWY-3001	6.038280848758859	0.04884318473362207	0.08598199037731752
PWY-5182	6.026466413623019	0.04913256592989572	0.08598199037731752
PWY-7200	6.0088969534506305	0.04956608364013789	0.08635513238637356
PHOSLIPSYN-PWY	5.915231200333892	0.051942621611994984	0.090095166689832
BRANCHED-CHAIN-AA-SYN-PWY	5.894834278761891	0.05247506684765618	0.09061773658273667
PWY-5484	5.8718919921277575	0.05308048162113665	0.09126117892756827
PWY-4722	5.85084377224071	0.053642056299220336	0.09182395663447325
PWY-5178	5.809870388063232	0.0547523387648529	0.09331702954705363
UBISYN-PWY	5.769401903202636	0.055871495319648606	0.09481223448182793
PWY-841	5.70639508193085	0.05765965668222233	0.09742493715272049
PWY-5676	5.627397731817504	0.05998271354173576	0.1009151232118473
PWY0-162	5.603636067953175	0.060699608300527716	0.10168481390515753
GLUCONEO-PWY	5.572238769774458	0.061660029081138344	0.10241835338900945
FAO-PWY	5.580244680669788	0.06141370008275193	0.10241835338900945
PWY-5097	5.558868314559049	0.06207362134870259	0.10251474622133265
PWY-5101	5.545093826072616	0.06250261312984312	0.10251474622133265
TRPSYN-PWY	5.550236851172485	0.062342093353541114	0.10251474622133265
ILEUSYN-PWY	5.478113393887725	0.0646312850357781	0.10312710545961952
PWY-6562	5.477325698966838	0.06465674491658023	0.10312710545961952
PWY-6151	5.507363573638941	0.06369292520744313	0.10312710545961952
DENOVOPURINE2-PWY	5.512176780463278	0.06353982589486451	0.10312710545961952
POLYAMSYN-PWY	5.49551007995251	0.06407153791340925	0.10312710545961952
FERMENTATION-PWY	5.475446643631358	0.06471752026292449	0.10312710545961952
VALSYN-PWY	5.478113393887725	0.0646312850357781	0.10312710545961952
PWY0-1261	5.3570825649790095	0.0686632414095859	0.10897162199416063
PWY-7211	5.292922481927917	0.07090167357739074	0.1120703872674886
PWY-6353	5.161542678241176	0.07571557910482823	0.11919882332968942
COA-PWY	5.103365753745038	0.07795037467582511	0.12222618749169377
PWY-7663	5.076586026103314	0.07900113867181931	0.1233802643798931
THRESYN-PWY	4.99679710573696	0.0822165587246419	0.12789242468277628
PWY-6901	4.968187125658915	0.08340111813361269	0.1292222858038584
PWY-621	4.921819495921909	0.08535726203891479	0.13173246739864014
SALVADEHYPOX-PWY	4.8958975804714555	0.08647077440925158	0.13292762183696713
PWY0-166	4.884824616851802	0.08695084600639506	0.13314348294729245
FUC-RHAMCAT-PWY	4.856296854715538	0.08819999017554567	0.13453072431445098
PYRIDNUCSAL-PWY	4.772077337839164	0.09199337927548301	0.13977288634104396
