#OTU ID	CT12	CT15	CT16	CT17	CT18	CT19	CT2	CT23	CT26	CT28	CT30	CT35	CT40	CT41	CT52	PD100	PD101	PD105	PD106	PD109	PD111	PD120	PD122	PD131	PD141	PD146	PD165	PD166	PD191	PD200	PD208	PD214	PD219	PD223	PD235	PD31	PD34	PD51	PD66	PD70	PD93	PD94	PD98	PV102	PV111	PV115	PV121	PV123	PV125	PV127	PV131	PV132	PV135	PV140	PV145	PV152	PV154	PV155	PV158	PV162	PV163	PV164	PV165	PV17	PV26	PV42	PV48	PV55	PV60	PV62	PV66	PV69	PV70	PV71	PV72	PV79	PV80	PV83	PV88	PV98
g__Pararoseburia	0	51	90	0	8	80	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	44	0	0	17	0	0	13	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	168	0	56	24	0	0	0	0	86	0	0	0	54	0	12	57	0	0	0	0	0	50	0	10	0	0	56	60	0	0	0	0	0	0
g__Parasutterella	877	562	8	0	4	78	109	0	18	0	10	0	0	0	92	134	0	0	0	0	856	12	0	44	0	0	0	0	0	0	0	0	0	0	0	0	1265	0	20	3	282	0	0	0	0	9	19	0	0	0	6	0	0	0	33	0	10	0	0	3	0	0	0	0	44	0	17	0	380	0	50	22	0	0	0	0	0	3	0	0
g__Pauljensenia	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	17	14	28	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
g__Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	3180	0
g__Peptostreptococcus	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	131	0	32	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	2119	101	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0
g__Phascolarctobacterium	0	10	30	2707	3	50	14	0	0	833	5	0	1872	0	0	0	0	0	0	0	3	0	0	0	49	0	0	2186	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1230	0	3	4053	0	0	0	346	40	1614	3	0	798	0	0	0	0	0	272	629	0	0	0	0	0	3	0	0	14	0	2089	6	165	0	0	0
g__Phocaeicola	981	3297	806	1766	6651	3511	142	294	219	3677	611	261	3340	468	77	5201	4281	3178	5035	4753	45	411	563	318	687	837	66	117	2026	65	1434	460	53	281	2886	3280	192	3412	82	1183	2243	24673	13965	73	604	1908	2974	887	1744	267	174	973	46	4012	463	49	2741	516	351	350	266	38	171	818	903	17	882	1431	1897	46	169	1093	1595	982	2370	769	1442	374	7603	20
g__Prevotella	2296	7315	15298	12213	5733	1694	3687	5440	5351	11271	0	2541	1533	385	5612	4535	3524	1069	5277	8353	3202	0	11011	2025	1177	3781	6191	892	4434	3204	1548	798	5775	702	4776	29521	2270	6097	3369	5774	3445	253	3889	16133	651	3473	4055	3244	1878	7413	2650	1653	1628	1465	10383	6791	11823	903	9961	3206	5397	1170	2548	0	1518	5880	0	9759	756	1945	1486	4404	7193	10047	6540	52625	4005	310	2488	9026
g__Pseudobutyricicoccus	0	0	10	0	4	20	0	4	0	0	0	0	0	0	21	0	0	17	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	49	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	25	0	0	0	0	0	0	0
g__Pseudoflavonifractor_A	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	113	0	0	0	0	0	9	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	16	0	0	44	0	0	0	0	0	0	17	0	0	0	5	0	0	0	8	0	8	0	0	0	0	43	0
g__Pseudoscilispira	0	6	0	33	24	0	0	5	6	0	7	0	18	0	0	0	0	15	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	4	0	7	0	5	1	0	11	14	0	0	0	0	0	0	8	4	17	0	0	5	0	0	0
g__Roseburia	287	1889	795	1153	1336	210	82	513	211	187	155	200	231	220	289	0	23	306	955	238	0	206	680	455	67	33	0	334	0	37	98	19	0	21	0	0	16	111	150	46	68	2265	1016	519	250	280	791	746	409	294	16	149	0	332	790	46	104	205	278	307	45	100	30	0	146	242	147	52	120	358	82	86	195	108	850	72	261	346	0	17
g__Roseburia_D	0	5	267	0	0	260	0	23	33	0	7	101	0	0	0	0	0	56	0	0	9	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	72	0	380	0	0	0	0	0	67	0	135	0	0	0	0	67	22	0	0	8	16	13	0	7	0	0	0	0	0	0	37	8	0	0	9	70	0	0	0	40	0	0
g__Rothia	5	0	3	12	0	0	0	17	11	0	5	0	0	0	0	0	0	0	27	43	19	0	0	0	17	0	0	0	0	0	0	0	0	0	15	2	0	0	0	23	0	0	0	13	0	0	0	20	0	0	0	0	12	0	6	0	0	0	0	0	0	5	0	0	0	18	34	0	13	13	0	0	0	0	0	0	0	20	0	0
g__Ruminiclostridium_E	0	0	0	0	0	35	0	0	2	16	35	58	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	359	0	4	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	3	0	0	0	0	0	6	0	0	0	17	30	0	0	0	0	0	0
g__Ruminococcus_B	0	154	0	724	195	0	0	0	7	128	0	0	48	83	0	288	0	0	44	3235	173	19	0	17	846	0	62	0	0	0	695	7	42	714	505	8	532	107	0	650	0	274	243	74	55	188	53	34	0	0	18	0	0	288	10	0	61	10	0	0	26	11	0	203	20	52	63	10	0	0	70	102	0	39	277	579	16	0	146	0
g__Ruminococcus_C	272	0	325	0	0	0	103	25	29	0	0	0	10	0	0	44	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	4	0	0	0	0	0	0	0	364	0	100	4	0	0	414	0	0	0	149	0	0	24	0	0	0	432	0	24	43	0	0	0	0	0	0	185	259	0	0
g__Ruminococcus_E	0	0	75	0	20	0	12	0	26	21	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	20	0	0	0	0	0	0	0	34	38	0	0	17	0	6	0	90	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	29	0	0
g__Ruthenibacterium	0	0	0	37	4	11	0	0	6	0	12	0	5	0	7	28	13	82	72	0	0	3	0	27	31	0	0	0	0	0	0	0	0	59	0	0	7	0	0	5	23	0	0	0	5	26	14	5	11	0	0	0	0	59	0	0	2	15	3	0	14	0	0	0	0	0	8	0	10	0	0	7	0	3	7	8	5	0	0	0
g__Sarcina	0	0	0	0	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	321	2	0	0	0	0	10	0	0	0	0	0	0	0	6	0	306	0	0	0	0	3	0	11	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0
g__Schaedlerella	0	210	62	68	72	11	0	9	0	0	6	41	0	0	0	0	44	0	0	0	0	121	24	44	12	0	0	9	0	0	13	0	0	18	11	0	0	63	0	0	12	95	0	0	0	44	96	0	0	6	0	0	0	14	162	0	0	0	0	0	0	24	0	24	0	0	0	0	0	0	106	16	13	0	0	0	0	17	0	0
g__Sellimonas	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	595	0	0	488	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	50	0	0	89	31	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	9	0	88	0	0	0	0
g__Streptococcus	197	393	20	432	477	334	5	506	58	7	3778	17	118	23	1694	227	114	587	921	590	296	561	116	40	172	189	63	16	30	40	8	19	100	50	873	832	20	203	227	627	28	385	864	170	0	83	538	1719	111	544	747	151	84	4537	63	692	136	32	98	8	20	187	479	68	308	168	624	2572	174	1735	0	73	2884	37	0	248	82	1590	100	5
g__Sutterella	0	0	22	692	35	459	0	6	149	0	283	47	82	3	0	0	345	70	0	25	0	14	0	0	100	0	75	122	488	24	33	0	0	98	628	1425	0	0	6	9	0	3140	1150	75	154	0	416	465	36	0	14	0	0	591	0	55	766	24	289	271	0	0	8	305	312	1016	212	107	0	7	0	262	227	345	53	0	63	44	0	38
g__Terrisporobacter	0	10	0	0	36	0	0	8	0	0	0	0	0	0	0	0	0	82	0	36	0	43	0	0	0	55	23	0	0	0	9	0	0	9	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	49	71	62	0	0	11	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
